playerId,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
52415,1,이재현,삼성,유격수,136,132,1117,23,0,217,333,73,0.960,0,0,0,-
54400,2,디아즈,삼성,1루수,128,126,1085 1/3,4,0,1013,87,89,0.996,0,0,0,-
74540,3,강민호,삼성,포수,123,104,876 2/3,2,0,740,40,3,0.997,8,72,11,13.3
52430,4,김영웅,삼성,3루수,118,114,964 1/3,11,0,81,207,23,0.963,0,0,0,-
62234,5,류지혁,삼성,2루수,113,100,811 1/3,4,0,184,254,58,0.991,0,0,0,-
62404,6,구자욱,삼성,좌익수,99,95,791 1/3,3,0,162,1,0,0.982,0,0,0,-
50458,7,김지찬,삼성,중견수,77,69,565,1,0,157,1,1,0.994,0,0,0,-
67449,8,김성윤,삼성,우익수,73,64,535,1,0,97,3,0,0.990,0,0,0,-
62360,8,김태훈,삼성,투수,73,0,66 1/3,2,0,1,8,1,0.818,0,0,0,-
55455,10,배찬승,삼성,투수,65,0,50 2/3,0,0,3,7,0,1.000,0,0,0,-
65062,11,김재윤,삼성,투수,63,0,57 2/3,0,0,3,9,0,1.000,0,0,0,-
54408,11,양도근,삼성,2루수,63,26,285,2,0,80,86,22,0.988,0,0,0,-
50464,13,이승민,삼성,투수,62,1,64 1/3,0,0,5,10,1,1.000,0,0,0,-
67449,14,김성윤,삼성,중견수,60,47,432 1/3,1,0,116,3,3,0.992,0,0,0,-
53455,15,이호성,삼성,투수,58,0,55 1/3,1,0,3,6,1,0.900,0,0,0,-
69428,16,이병헌,삼성,포수,55,13,184,2,0,154,9,1,0.988,2,16,1,5.9
61404,17,김헌곤,삼성,좌익수,49,21,201,0,0,43,0,0,1.000,0,0,0,-
66409,18,이성규,삼성,우익수,44,21,207 2/3,2,0,49,1,1,0.962,0,0,0,-
65132,19,김재성,삼성,포수,43,22,176,0,0,147,13,5,1.000,2,15,6,28.6
60146,20,이승현,삼성,투수,42,0,35 2/3,0,0,1,4,0,1.000,0,0,0,-
65586,21,전병우,삼성,3루수,36,14,140 1/3,0,0,10,23,2,1.000,0,0,0,-
