순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,케이브,두산,우익수,132,131,1127 1/3,2,0,228,6,0,0.992,0,0,0,-
2,정수빈,두산,중견수,131,128,1077 1/3,3,0,262,4,2,0.989,0,0,0,-
3,양의지,두산,포수,94,92,726,5,2,636,49,5,0.993,6,49,17,25.8
4,김기연,두산,포수,88,48,492 1/3,4,1,402,22,4,0.991,4,47,11,19.0
5,박치국,두산,투수,73,0,62 1/3,1,0,3,10,1,0.929,0,0,0,-
5,이영하,두산,투수,73,0,66 2/3,2,3,3,17,0,0.909,0,0,0,-
7,양석환,두산,1루수,69,68,579 2/3,4,0,525,45,44,0.993,0,0,0,-
7,오명진,두산,2루수,69,55,488,7,0,127,161,38,0.976,0,0,0,-
9,이유찬,두산,유격수,67,60,541,8,0,90,161,35,0.969,0,0,0,-
10,조수행,두산,좌익수,65,11,203 1/3,0,0,54,1,0,1.000,0,0,0,-
11,김택연,두산,투수,64,0,66 1/3,2,0,0,3,0,0.600,0,0,0,-
12,강승호,두산,1루수,60,33,331,3,0,293,25,30,0.991,0,0,0,-
13,박신지,두산,투수,54,0,60,0,0,2,7,0,1.000,0,0,0,-
13,박준순,두산,3루수,54,50,445 1/3,19,0,30,95,12,0.868,0,0,0,-
15,김민석,두산,좌익수,51,36,285 1/3,2,0,62,2,1,0.970,0,0,0,-
16,김인태,두산,좌익수,47,34,261 1/3,1,0,62,1,1,0.984,0,0,0,-
16,최원준,두산,투수,47,16,107,2,3,4,12,1,0.889,0,0,0,-
18,고효준,두산,투수,45,0,21,0,0,0,3,0,1.000,0,0,0,-
19,최지강,두산,투수,39,0,32 2/3,1,0,0,6,0,0.857,0,0,0,-
20,박준영,두산,유격수,38,34,287,8,0,54,75,20,0.942,0,0,0,-
21,김재환,두산,좌익수,37,35,256 1/3,0,0,56,1,1,1.000,0,0,0,-
22,김민석,두산,1루수,35,24,206 1/3,4,0,214,10,20,0.982,0,0,0,-
23,강승호,두산,2루수,34,29,253 1/3,1,0,71,75,17,0.993,0,0,0,-
24,임종성,두산,3루수,32,26,212,2,0,22,33,3,0.965,0,0,0,-
25,조수행,두산,중견수,31,8,114 1/3,1,0,40,1,1,0.976,0,0,0,-
26,강승호,두산,3루수,30,29,244,5,0,24,53,5,0.939,0,0,0,-
